+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name   | Interaction | Probability |
| 1596 |                                                                                                                                                                                                                                                                                                  Acetarsol                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1597 |                                                                                                                                                                                                                                                        2-(3,4-Dichloroanilino)-6-nitro-4-oxo-N-(prop-2-en-1-yl)-1,4-dihydroquinazoline-8-carboxamide                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.68    |
| 1598 |                                                                                                                                                                                                                                                                                                   Felbinac                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1599 |                                                                                                                                                                                                                                                                                              Aminohippuric acid                                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.68    |
| 1600 |                                                                                                                                                                                                                                                                                                  Zofenopril                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1601 |                                                                                                                                                                                                                                                                                                 Cephalothin                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1602 |                                                                                                                                                                                                                                                                                                   Fenbufen                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1603 |                                                                                                                                                                                                                                                                                                  Iobenguane                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1604 |                                                                                                                                                                                                                                                             5-[2-(3-Fluorophenyl)ethyl]-5-azahexacyclo[5.4.1.02,6.03,10.04,8.09,12]dodecan-4-ol                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.68    |
| 1605 |                                                                                                                                                                                                                                                                                                 Laropiprant                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1606 |                                                                                                                                                                                                                                                                                                 Tlr4-IN-C34                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1607 |                                                                                                                                                                                                                                                                                                  Erteberel                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1608 |                                                                                                                                                                                                                                                                                                  Roxadustat                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1609 |                                                                                                                                                                                                                                                                                                  Tipifarnib                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1610 |                                                                                                                                                                                                                                              3-[[4-[(1S)-1-[3-(3,5-Dichlorophenyl)-5-(6-methoxynaphthalen-2-yl)pyrazol-1-yl]ethyl]benzoyl]amino]propanoic acid                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     0.68    |
| 1611 |                                                                                                                                                                                                                                                                                                  Oxypurinol                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1612 |                                                                                                                                                                                                                                                                                                 Palovarotene                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1613 |                                                                                                                                                                                                                                                                                                 Phensuximide                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1614 |                                                                                                                                                                                                                                                                                                  Dacinostat                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1615 |                                                                                                                                                                                                                                                                             4'-((1R,2S)-2-Aminocyclopropyl)-[1,1'-biphenyl]-3-ol                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     0.68    |
| 1616 |                                                                                                                                                                                                                                                            2-(4-((2R)-2-(((2R)-2-(3-Chlorophenyl)-2-hydroxyethyl)amino)propyl)phenoxy)acetic acid                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.68    |
| 1617 |                                                                                                                                                                                                                                                                                                  Selinexor                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1618 |                                                                                                                                                                                                                                                                            2-[(4-Chlorophenyl)methylamino]-3-phenylpropanoic acid                                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.68    |
| 1619 |                                                                                                                                                                                                                                                                           1-(3,6-Dibromo-carbazol-9-yl)-3-phenylamino-propan-2-ol                                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.68    |
| 1620 |                                                                                                                                                                                                                                                                                                  Sertraline                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1621 |                                                                                                                                                                                                                                                      4-Hydroxy-3-(2'-hydroxy-1,1'-biphenyl-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile                                                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.68    |
| 1622 |                                                                                                                                                                                                                                                                                                  Guanabenz                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1623 |                                                                                                                                                                                                                                                                                                 Piceatannol                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1624 |                                                                                                                                                                                                                                                                       Dichlorocopper;[(E)-(4-oxochromen-3-yl)methylideneamino]thiourea                                                                                                                                                                                                                                                                      | TP53_isoform_a |     YES     |     0.68    |
| 1625 |                                                                                                                                                                                                                                                                                                  Denotivir                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1626 |                                                                                                                                                                                                                                                                                                  Indobufen                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1627 |                                                                                                                                                                                                                                                                                                 Ulixertinib                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1628 |                                                                                                                                                                                                                                                        4-[(4E)-3-Benzyl-4-[[5-(2-fluorophenyl)furan-2-yl]methylidene]-5-oxopyrazol-1-yl]benzoic acid                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.68    |
| 1629 |                                                                                                                                                                                                                                                4-[3-(4-Bromophenyl)-5-(6-methyl-2-oxo-4-phenyl-1H-quinolin-3-yl)-3,4-dihydropyrazol-2-yl]-4-oxobutanoic acid                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1630 |                                                                                                                                                                                                                                (3S,7S)-N-[(2,4-Difluorophenyl)methyl]-11-hydroxy-7-methyl-9,12-dioxo-4-oxa-1,8-diazatricyclo[8.4.0.03,8]tetradeca-10,13-diene-13-carboxamide                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1631 |                                                                                                                                                                                                                                                         Dimethyl 1,2,6-trimethyl-4-[4-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3,5-dicarboxylate                                                                                                                                                                                                                                                        | TP53_isoform_a |     YES     |     0.68    |
| 1632 |                                                                                                                                                                                                                                                                                                   Torin 2                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.68    |
| 1633 |                                                                                                                                                                                                                                                                  N-(4-(2-(Propylamino)ethyl)phenyl)-4-(trifluoromethoxy)benzenesulfonamide                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1634 |                                                                                                                                                                                                                                                                                                    Phccc                                                                                                                                                                                                                                                                                                    | TP53_isoform_a |     YES     |     0.68    |
| 1635 |                                                                                                                                                                                                                                                                                                  Amlexanox                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1636 |                                                                                                                                                                                                                                                       (E)-3-(2-Chloro-4-((3-(2,6-dichlorophenyl)-5-isopropylisoxazol-4-yl)methoxy)styryl)benzoic acid                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     0.68    |
| 1637 |                                                                                                                                                                                                                                                                                                  Novobiocin                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1638 |                                                                                                                                                                                                                                                                              4-Nitro-N-(1,3-diphenyl-1H-pyrazol-5-yl)benzamide                                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     0.68    |
| 1639 |                                                                                                                                                                                                                                                                                                 Fluocinonide                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1640 |                                                                                                                                                                                                                                                                                 (2S)-2-Azaniumyl-3-tritylsulfanylpropanoate                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1641 |                                                                                                                                                                                                                                                                               4-[[4-(4-Chlorophenyl)-2-thiazolyl]amino]phenol                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     0.68    |
| 1642 |                                                                                                                                                                                                                                                                                         Erythromycin ethylsuccinate                                                                                                                                                                                                                                                                                         | TP53_isoform_a |     YES     |     0.68    |
| 1643 |                                                                                                                                                                                                                                                                                             Cyproterone acetate                                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.68    |
| 1644 |                                                                                                                                                                                                                                                                                                    Citco                                                                                                                                                                                                                                                                                                    | TP53_isoform_a |     YES     |     0.68    |
| 1645 |                                                                                                                                                                                                                                                                                                Resibufogenin                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1646 |                                                                                                                                                                                                                                                                                                   4BP-Tqs                                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.68    |
| 1647 |                                                                                                                                                                                                                                                                     (S)-1-(4-(1H-Pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethanol                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.68    |
| 1648 |                                                                                                                                                                                                                                                                            (S)-N-Hydroxy-4-(3-methyl-2-phenylbutanamido)benzamide                                                                                                                                                                                                                                                                           | TP53_isoform_a |     YES     |     0.68    |
| 1649 |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | TP53_isoform_a |     YES     |     0.68    |
| 1650 |                                                                                                                                                                                                                                                             (1R,2R)-2-[4-[4-(Phenylcarbamoylamino)phenyl]benzoyl]cyclopentane-1-carboxylic acid                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.68    |
| 1651 |                                                                                                                                                                                                                                                                              1-(4-Methoxyphenyl)-2-methyl-3-nitro-1H-indol-6-ol                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     0.68    |
| 1652 |                                                                                                                                                                                                                                                                                                  Rosoxacin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.68    |
| 1653 |                                                                                                                                                                                                                                                                                   1,3-Indandione, 2-(3-pyridylmethylene)-                                                                                                                                                                                                                                                                                   | TP53_isoform_a |     YES     |     0.68    |
| 1654 |                                                                                                                                                                                                                                                                                                 Fluconazole                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1655 |                                                                                                                                                                                                                                                                                               Raf265(chir-265)                                                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     0.68    |
| 1656 |                                                                                                                                                                                                                                                        (1S,2R)-2-[(4-{4-[(Phenylcarbamoyl)amino]phenyl}phenyl)carbonyl]cyclopentane-1-carboxylic acid                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     0.68    |
| 1657 |                                                                                                                                                                                                                                                                (5E)-5-{[5-(4-Fluorophenyl)furan-2-yl]methylidene}-1,3-thiazolidine-2,4-dione                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.68    |
| 1658 |                                                                                                                                                                                                                                                                                                  Taranabant                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.68    |
| 1659 |                                                                                                                                                                                                                                                                       2-(4-Chlorophenyl)-1,2-dihydro-3h-pyrazolo[4,3-c]quinolin-3-one                                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     0.68    |
| 1660 |                                                                                                                                                                                                                                                    [6-Hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(4-propan-2-ylpiperazin-1-yl)phenyl]methanone                                                                                                                                                                                                                                                    | TP53_isoform_a |     YES     |     0.67    |
| 1661 |                                                                                                                                                                                                                                                                                                  Indibulin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.67    |
| 1662 |                                                                                                                                                                                                                                                                                                  Ftaxilide                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     0.67    |
| 1663 |                                                                                                                                                                                                                                                                                                  2-Naphthol                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.67    |
| 1664 |                                                                                                                                                                                                                                                                1,1,1,3,3,3-Hexafluoropropan-2-yl 4-(3-phenoxybenzyl)piperazine-1-carboxylate                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     0.67    |
| 1665 |                                                                                                                                                                                                                                                                                                 Wiskostatin                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     0.67    |
